"STATE_NAME","County","NAME","STATE_FIPS","CNTY_FIPS","FIPS","PriceAverage.x","Ns","PriceAverage1","PriceAverage.y"
"Alabama","Talladega, Alabama","Talladega","01","121","01121",190.6,"5 observations registered","$191 per Ounce",211.976021963394
"Alabama","Randolph, Alabama","Randolph","01","111","01111",305.2,"2 observations registered","$305 per Ounce",211.976021963394
"Alabama","Tallapoosa, Alabama","Tallapoosa","01","123","01123",117.8,"3 observations registered","$118 per Ounce",211.976021963394
"Alabama","Conecuh, Alabama","Conecuh","01","035","01035",400,"1 observations registered","$400 per Ounce",211.976021963394
"Alabama","Choctaw, Alabama","Choctaw","01","023","01023",194.8,"3 observations registered","$195 per Ounce",211.976021963394
"Alabama","Tuscaloosa, Alabama","Tuscaloosa","01","125","01125",274.1,"26 observations registered","$274 per Ounce",211.976021963394
"Alabama","Houston, Alabama","Houston","01","069","01069",226,"12 observations registered","$226 per Ounce",211.976021963394
"Alabama","Autauga, Alabama","Autauga","01","001","01001",205.8,"4 observations registered","$206 per Ounce",211.976021963394
"Alabama","Cleburne, Alabama","Cleburne","01","029","01029",211.976021963394,"No observations registered. Price is State Average","$212 per Ounce (State Average)",211.976021963394
"Alabama","Marengo, Alabama","Marengo","01","091","01091",199.6,"2 observations registered","$200 per Ounce",211.976021963394
"Alabama","Lauderdale, Alabama","Lauderdale","01","077","01077",318.9,"7 observations registered","$319 per Ounce",211.976021963394
"Alabama","Marshall, Alabama","Marshall","01","095","01095",267.3,"8 observations registered","$267 per Ounce",211.976021963394
"Alabama","Bibb, Alabama","Bibb","01","007","01007",100,"1 observations registered","$100 per Ounce",211.976021963394
"Alabama","Monroe, Alabama","Monroe","01","099","01099",100,"1 observations registered","$100 per Ounce",211.976021963394
"Alabama","Lee, Alabama","Lee","01","081","01081",211.976021963394,"No observations registered. Price is State Average","$212 per Ounce (State Average)",211.976021963394
"Alabama","Covington, Alabama","Covington","01","039","01039",211.976021963394,"No observations registered. Price is State Average","$212 per Ounce (State Average)",211.976021963394
"Alabama","Greene, Alabama","Greene","01","063","01063",488.7,"1 observations registered","$489 per Ounce",211.976021963394
"Alabama","Colbert, Alabama","Colbert","01","033","01033",211.976021963394,"No observations registered. Price is State Average","$212 per Ounce (State Average)",211.976021963394
"Alabama","Madison, Alabama","Madison","01","089","01089",270,"2 observations registered","$270 per Ounce",211.976021963394
"Alabama","Clay, Alabama","Clay","01","027","01027",200,"1 observations registered","$200 per Ounce",211.976021963394
