"County","PriceAverage","Ns"
"1793Norfolk, Massachusetts",211.976614970574,4
"Abbeville, South Carolina",255.890729334601,2
"Acadia, Louisiana",193.976980289357,6
"Accomack, Virginia",250,1
"Ada, Idaho",254.591206529481,66
"Adair, Missouri",210,2
"Adams, Colorado",208.803307909376,70
"Adams, Illinois",197.651341787155,7
"Adams, Indiana",186.863438272163,1
"Adams, Iowa",100,1
"Adams, Mississippi",144.302108163842,2
"Adams, Nebraska",353.333333333333,3
"Adams, Pennsylvania",274.434957204865,4
"Adams, Washington",269.830325350518,5
"Adams  Weld, Colorado",143.5,2
"Adams, Wisconsin",200,1
"Addison, Vermont",329.032070644844,8
"Aiken, South Carolina",280.127943016952,14
"Alachua, Florida",308.078203353066,54
"Alamance, North Carolina",290.254353655964,18
"Alameda, California",224.470611228649,1264
"Alamosa, Colorado",108.570223887005,1
"Alamos, New Mexico",282.015026497637,5
"Albany, New York",317.296234773209,114
"Albany, Wyoming",322.866200626931,6
"Alcorn, Mississippi",237.674060505152,2
"Alger, Michigan",120.832660349406,1
"Allamakee, Iowa",250,1
"Allegan, Michigan",233.582781486513,10
"Allegany, Maryland",315.281499971279,6
"Allegany, New York",338.790183943762,6
"Allegheny, Pennsylvania",304.874382541837,240
"Allen, Indiana",279.267382351901,44
"Allen, Kansas",696.176390696492,1
"Allen, Ohio",276.956885333732,13
"Alpena, Michigan",177.113702594657,2
"Amador, California",179.94543542619,25
"Amelia, Virginia",267.003636571204,2
"Ana, New Mexico",262.182643500847,17
"Anderson, Kentucky",246.250768756794,2
"Anderson, South Carolina",280.04114576945,37
"Anderson, Tennessee",238.022384042068,7
"Andrews, Texas",294.242406678576,2
"Androscoggin, Maine",255.966589304899,25
"Angeles, California",262.361647142932,2916
"Anne Arundel Howard, Maryland",275.023928386794,2
"Anne Arundel, Maryland",357.185886658473,29
"Anne, Maryland",351.885115157074,31
"Anne's, Maryland",361.562068711588,2
"Anne, Virginia",306.369146320006,66
"Anoka, Minnesota",281.680919988864,26
"Antrim, Michigan",268.054433915677,3
"Apache, Arizona",182.155301954784,6
"Appanoose, Iowa",138.637282734878,1
"Aransas, Texas",266.601009486629,23
"Arapahoe Adams Douglas, Colorado",210.723993436122,68
"Arapahoe, Colorado",212.158458524788,115
"Arapahoe  Jefferson Douglas, Colorado",214.611053414643,36
"Archer, Texas",400,1
"Arenac, Michigan",120,1
"Arkansas, Arkansas",334.743600005039,5
"Armstrong, Pennsylvania",362.348926058312,3
"Aroostook, Maine",205.796834772853,1
"Arriba, New Mexico",209,1
"Arundel, Maryland",351.885115157074,31
"Ascension, Louisiana",308.356363691727,6
"Ashe, North Carolina",420,1
"Ashland, Ohio",233.256214164051,9
"Ashland, Wisconsin",300,1
"Ashley, Arkansas",171.133912632372,1
"Ashtabula, Ohio",277.277939647759,4
"Assumption, Louisiana",79.6684480211351,1
"Atchison, Kansas",287.5,2
"Athens, Ohio",326.84978211755,30
"Atkinson, Georgia",120,1
"Atlantic, New Jersey",284.00357140794,48
"Audrain, Missouri",121.952168755443,2
"Auglaize, Ohio",80,1
"Austin, Texas",300,1
"Autauga, Alabama",205.844947285097,4
"Avery, North Carolina",103.294814582008,1
"Avoyelles, Louisiana",375,2
"Baker, Georgia",101.254632855708,1
"Baker, Oregon",212.687893806042,6
"Baldwin, Alabama",323.915570307683,11
"Baldwin, Georgia",293.431793173685,7
"Baltimore, Maryland",324.526318356474,48
"Bamberg, South Carolina",320.165629956771,3
"Bandera, Texas",124.696233929584,1
"Bannock, Idaho",253.227006614447,19
"Baptist, Louisiana",267.417112005284,4
"Baraga, Michigan",416.387498055439,3
"Barbara, California",263.410224890317,253
"Barbour, Alabama",350,1
"Barnes, North Dakota",323.979806293957,2
"Barnstable, Massachusetts",286.651000995019,32
"Barnwell, South Carolina",340,1
"Barren, Kentucky",180.421595227906,4
"Barron, Wisconsin",319.573323326236,6
"Barrow, Georgia",304.285714285714,7
"Barry, Michigan",180.08299684137,3
"Barry, Missouri",271.004819456539,1
"Bartholomew, Indiana",237.549192901374,12
"Barton, Kansas",97.6640185593204,14
"Bartow, Georgia",260.729128056843,13
"Bastrop, Texas",280.566526341565,2
"Bates, Missouri",255.986888981018,3
"Baton, Louisiana",304.010894069752,94
"Baxter, Arkansas",317.82012346012,2
"Bayfield, Wisconsin",600,1
"Bay, Michigan",263.810973290301,43
"Beach, Florida",268.317998207409,155
"Beadle, South Dakota",480,1
