"State","AveragePrice_2010-09","AveragePrice_2010-10","AveragePrice_2010-11","AveragePrice_2010-12","AveragePrice_2011-01","AveragePrice_2011-02","AveragePrice_2011-03","AveragePrice_2011-04","AveragePrice_2011-05","AveragePrice_2011-06","AveragePrice_2011-07","AveragePrice_2011-08","AveragePrice_2011-09","AveragePrice_2011-10","AveragePrice_2011-11","AveragePrice_2011-12","AveragePrice_2012-01","AveragePrice_2012-02","AveragePrice_2012-03","AveragePrice_2012-04","AveragePrice_2012-05","AveragePrice_2012-06","AveragePrice_2012-07","AveragePrice_2012-08","AveragePrice_2012-09","AveragePrice_2012-10","AveragePrice_2012-11","AveragePrice_2012-12","AveragePrice_2013-01","AveragePrice_2013-02","AveragePrice_2013-03","AveragePrice_2013-04","AveragePrice_2013-05","UserPer","Population","PercentagePopulation","Weight"
"Alabama",173.162989473684,166.391719047619,150.770911111111,199.496314285714,189.127546153846,169.6292125,183.852373333333,205.9267,231.92284375,188.806433333333,234.033746153846,102.703825,208.18854375,122.609933333333,172.161055555556,124.62485,101.658966666667,211.904593333333,234.435408,210.717835897436,247.434070588235,186.488422916667,212.633002631579,229.121298461538,200.762157627119,217.826398076923,215.109680808081,215.539851578947,208.876252873563,232.04573,241.254784615385,229.18542739726,217.341787037037,9.03,4822023,1.53,0.0121387816497124
"Alaska",259.981872727273,317.7002,264.106575,265.6633,275.940733333333,135.7798,137.33618,120.234575,176.598766666667,171.557766666667,211.603725,283.95542,104.917,153.3493,293.2181,104.088666666667,323.4507,157.20745,128.546018181818,274.196275,179.634693333333,190.951225,213.645347368421,227.860381818182,214.492163636364,196.299638461538,211.61519,233.762195,263.390215789474,245.9336875,291.275094444444,168.70668,141.999078571429,17.65,731449,0.23,0.00356671545878355
"Arizona",202.579925263158,162.79906,192.297946666667,197.723511764706,155.94735,132.506305882353,229.446165,187.711242105263,197.169082352941,188.542727272727,168.46572,203.712845652174,207.977264912281,248.085570588235,193.677723529412,209.052240909091,165.77378,185.830776,216.0269953125,197.85517826087,193.941702666667,210.70591827957,210.7186192,193.559004,200.802557272727,219.029685321101,192.635422627737,209.863542307692,198.277901265823,201.026776984127,204.688839855072,194.529978518519,204.866262037037,11.58,6553255,2.04,0.0207555690666179
"Arkansas",182.792507692308,204.12305,250.19063,182.159270588235,200.06765,286.34005,264.5098,151.16442,176.325,212.43383,188.216415789474,192.697525,260.69556,114.97586,162.80041,274.7003,181.65724,134.82632,177.4986,215.82734,261.113347619048,181.163279166667,233.171896969697,238.577479411765,216.808661538462,192.036426086957,235.021443137255,196.637132727273,217.947485454545,222.093979069767,221.030428888889,217.141283333333,208.645336,9.27,2949131,0.93,0.00757458077145433
"California",246.638020587539,230.616251422319,215.076687073864,233.51596353167,204.858422083333,219.554694929006,190.324482828283,216.460055867347,202.160147079038,204.265617090909,206.551370149254,178.293008962264,211.083466802444,198.508522900763,197.164924505929,184.112934889435,190.137235376968,152.493677777778,170.843548307692,183.399628867925,187.027360940326,192.126980608974,185.80519139923,181.55820627451,182.881160650888,192.308819871106,186.522721830986,181.941827848101,179.989062695312,186.251579257362,186.888249215247,187.916517062147,184.022787605634,14.03,38041430,11.91,0.146813283170586
"Colorado",140.574168421053,123.799835849057,179.3599,162.697435135135,138.359509090909,108.252152777778,119.225702380952,117.392048,181.886603571429,99.1996571428571,141.187537037037,141.098253061224,110.847366666667,186.804674074074,123.360395833333,199.668325806452,184.9895,157.883379166667,136.45173125,175.029111428571,169.080835714286,160.528618666667,159.886015238095,180.629765555556,177.956733783784,177.899562886598,203.75538,180.494156129032,193.692580981595,184.255337692308,172.218160583942,177.393804109589,197.147602727273,16.23,5187582,1.61,0.022958331063592
"Connecticut",180.581319512195,168.468452941176,226.55598,211.095152941176,195.397333333333,211.158554545455,156.247034615385,208.934391666667,117.82884,181.761854545455,146.124487096774,183.188685,203.1226375,171.3271,204.545843478261,219.957194444444,128.533258333333,96.9230857142857,207.950478378378,196.963994642857,225.494566666667,195.139437142857,215.600924691358,201.610609459459,215.208740697674,202.728361445783,177.260601980198,201.838121875,205.420936440678,189.979104651163,218.976736956522,225.560115189873,204.500833846154,13.39,3590347,1.14,0.0134116233014281
"Delaware",166.066065217391,245.212775,148.87284,88.9932,40.4431,147.5078,239.7569,331.917325,149.68836,417.556266666667,165.358475,200.83128,341.739366666667,107.857,199.2749,109.31426,118.539075,239.79192,186.8464375,246.094346153846,229.265981818182,210.023366666667,225.783159090909,242.73645,173.0194875,162.565,218.810390625,217.646184,267.929015384615,282.881208333333,199.547593548387,210.252891304348,223.477666666667,13.25,917092,0.29,0.00337605718693824
"Florida",174.799476,211.851913432836,178.607637974684,184.864831707317,165.520197101449,157.611928169014,175.251453,187.314373873874,213.690065116279,184.876349438202,165.290494339623,200.555541353383,194.073311111111,204.714047126437,170.738291025641,181.272934653465,188.650959405941,202.528298666667,203.606653521127,195.671280073801,184.116034812287,201.788965724382,198.275265963061,205.32783027027,206.320366363636,197.757466755319,195.002321028037,203.479870752688,200.743339263804,198.385109142857,207.758202988048,209.79743377193,201.139480434783,10.99,19317568,6.01,0.0580320727629283
"Georgia",177.424338167939,187.023109589041,195.71768125,208.039011363636,208.670761538462,193.602204166667,192.786765909091,203.486293478261,196.035381081081,148.699619565217,172.283712820513,201.775301923077,196.626418604651,184.070061538462,189.089040740741,208.8714,182.311728888889,194.303658064516,215.386676388889,204.498354471545,217.995340336134,229.183073228346,204.337831764706,212.530127607362,209.64611862069,206.17325,198.761699415205,202.03683989899,209.49748671875,205.82371314554,229.901592694064,200.188700487805,224.326550857143,9.48,9919945,3.1,0.0258205773870504
"Hawaii",199.62784,195.077766666667,145.7276,266.694566666667,276.6586,197.853725,97.38685,177.20745,74.0521333333333,200.90825,277.30205,274.36588,86.37782,267.20555,NA,220.572316666667,79.0876833333333,180.92195,189.57834,155.108973333333,220.296964705882,227.600983333333,199.084036363636,280.048583333333,199.739863636364,229.63616,178.078003125,170.485137142857,222.43814047619,225.047327272727,218.507092307692,232.595045454545,219.727344444444,11.86,1392313,0.43,0.00448073297122905
"Idaho",214.828857894737,146.226509090909,153.717428571429,98.9170916666667,135.3551,168.3165,102.577133333333,111.4739,161.29134,188.6041,169.527471428571,168.3165,209.50632,238.76245,150.842714285714,102.31954,96.29775,117.02205,133.5962,209.2462,226.803845454545,90.9275736842105,158.192390909091,172.581027586207,185.543565217391,180.707463157895,189.178041176471,206.867570731707,151.626083333333,151.19142173913,185.637948148148,187.848536,193.761731578947,11.5,1595728,0.51,0.00515304499710937
"Illinois",152.488452439024,198.639848235294,163.72584,176.204965625,173.693771428571,229.176744444444,176.961605084746,180.211142682927,157.545666666667,200.938171929825,163.505155263158,179.326237,182.306059183673,215.719598484848,158.045676470588,208.2615296875,206.994328571429,186.474057692308,219.616022222222,199.644321686747,199.411894594595,217.610107692308,213.000787795276,217.751049321267,201.451352459016,212.767736776859,207.240780254777,212.086423417722,196.094020598007,228.8171812,202.443376687117,225.314135123967,198.947038222222,11.4,12875255,4.1,0.0410662102582936
"Indiana",159.233361702128,100.033739285714,138.258608,140.728451351351,148.690711764706,149.026604761905,154.9496,144.463451282051,151.428952,149.115243478261,153.293883333333,164.3122,155.253228,175.115692,218.515868965517,229.686795238095,222.535724,181.692431818182,147.081672,196.753638571429,164.971748611111,193.080803846154,179.726718269231,174.830125773196,203.67863875,186.7789,183.128558015267,179.099118939394,186.379486666667,174.142351754386,188.888461971831,190.528881553398,208.655454736842,10.29,6537334,2.07,0.0187146469483255
"Iowa",188.504651666667,143.400674193548,165.158395,222.956457142857,183.356506666667,269.899222222222,115.758027272727,94.1402166666667,143.657985714286,135.997338888889,229.876966666667,190.96534,190.701718181818,220.9823,157.518316666667,181.214188888889,155.918581818182,138.101133333333,189.338076923077,217.401262068966,187.649951724138,234.752356,259.092435,212.404504347826,231.435927272727,194.434938636364,179.460680645161,217.917052,199.082370689655,230.331988095238,230.747316071429,224.817768181818,217.391080645161,9.89,3074186,0.97,0.00842876497370322
