"State","PriceAverage"
"Alabama",211.976021963394
"Alaska",218.691134319527
"Arizona",200.696680982143
"Arkansas",211.043458883249
"California",203.449770536636
"Colorado",169.728225268125
"Connecticut",197.010780108827
"Delaware",209.01430458221
"Florida",196.946592879133
"Georgia",205.520995331325
"Hawaii",205.761942986425
"Idaho",168.356021428571
"Illinois",200.508149475201
"Indiana",178.389384425451
"Iowa",201.538355851064
"Kansas",182.611726450999
"Kentucky",192.246651911315
"Louisiana",219.205539834025
"Maine",160.364642598684
"Maryland",216.483458279963
"Massachusetts",204.965612008674
"Michigan",187.987242914119
"Minnesota",201.826201477833
"Mississippi",214.803747609943
"Missouri",184.307666545455
"Montana",156.177714503817
"Nebraska",169.71629244713
"Nevada",195.418875902527
"New Hampshire",187.956349225473
"New Jersey",220.884173801207
"New Mexico",189.437258053691
"New York",205.05297156617
"North Carolina",200.510122480878
"North Dakota",167.726892056075
"Ohio",170.366841259278
"Oklahoma",203.747831991525
"Oregon",170.624133216257
"Pennsylvania",201.506579524121
"Rhode Island",203.873024699828
"South Carolina",200.045250832073
"South Dakota",172.189498642534
"Tennessee",207.546986560364
"Texas",204.210442809177
"Utah",180.413512543962
"Vermont",183.604208356546
"Virginia",195.661876097734
"Washington",188.027311806495
"West Virginia",199.387934854772
"Wisconsin",172.563697525773
"Wyoming",151.339190062112
