"","City","County"
"1","Purchase, New York","Westchester"
"2","Purchase, New York",NA
"3","Purchase, New York","Westchester"
"4","Ithaca, New York","Tompkins"
"5","Ithaca, New York",NA
"6","Ithaca, New York","Tompkins"
"7","Ann Arbor, Michigan","Washtenaw"
"8","Ann Arbor, Michigan",NA
"9","Ann Arbor, Michigan","Washtenaw"
"10","Frederick, Maryland","Frederick"
"11","Frederick, Maryland",NA
"12","Frederick, Maryland","Frederick"
"13","Chattanooga, Tennessee","Hamilton"
"14","Chattanooga, Tennessee",NA
"15","Chattanooga, Tennessee","Hamilton"
"16","North Port, Florida"," Sarasota"
"17","North Port, Florida",NA
"18","North Port, Florida"," Sarasota"
"19","Atlanta, Georgia","Fulton and DeKalb"
"20","Atlanta, Georgia",NA
"21","Atlanta, Georgia","Fulton and DeKalb"
"22","New York, New York","Bronx"
"23","New York, New York"," Kings"
"24","New York, New York"," New York"
"25","New York, New York"," Queens"
"26","New York, New York"," Richmond"
"27","Indianapolis, Indiana","Marion"
"28","Indianapolis, Indiana",NA
"29","Indianapolis, Indiana","Marion"
"30","Mcallen, Texas","Hidalgo"
"31","Mcallen, Texas",NA
"32","Mcallen, Texas","Hidalgo"
"33","Tampa, Florida","Hillsborough"
"34","Tampa, Florida",NA
"35","Tampa, Florida","Hillsborough"
"36","Fairfield, Connecticut","NULL"
"37","Fairfield, Connecticut",NA
"38","Fairfield, Connecticut","NULL"
"39","Fuquay Varina, North Carolina","Wake"
"40","Fuquay Varina, North Carolina",NA
"41","Fuquay Varina, North Carolina","Wake"
"42","Fairfax, Virginia","NULL"
"43","Fairfax, Virginia",NA
"44","Fairfax, Virginia","NULL"
"45","Fort Worth, Texas","Tarrant"
"46","Fort Worth, Texas"," Denton"
"47","Fort Worth, Texas"," Parker"
"48","Fort Worth, Texas"," Wise [2]"
"49","Yellowstone National Park, Wyoming","Orleans"
"50","Yellowstone National Park, Wyoming",NA
"51","Yellowstone National Park, Wyoming","Orleans"
"52","Milford, New Hampshire","Hillsborough"
"53","Milford, New Hampshire",NA
"54","Milford, New Hampshire","Hillsborough"
"55","Kokomo, Indiana","Howard"
"56","Kokomo, Indiana",NA
"57","Kokomo, Indiana","Howard"
"58","Jacksonville, Florida","Duval"
"59","Jacksonville, Florida",NA
"60","Jacksonville, Florida","Duval"
"61","New City, New York","Orleans"
"62","New City, New York",NA
"63","New City, New York","Orleans"
"64","Woodstock, Georgia","Orleans"
"65","Woodstock, Georgia",NA
"66","Woodstock, Georgia","Orleans"
"67","Oxford, Mississippi","Lafayette"
"68","Oxford, Mississippi",NA
"69","Oxford, Mississippi","Lafayette"
"70","Fair Lawn, New Jersey","Bergen"
"71","Fair Lawn, New Jersey",NA
"72","Fair Lawn, New Jersey","Bergen"
"73","Corona, New York","Orleans"
"74","Corona, New York",NA
"75","Corona, New York","Orleans"
"76","Glendale, Arizona","Maricopa"
"77","Glendale, Arizona",NA
"78","Glendale, Arizona","Maricopa"
"79","Brooklyn, New York","Kings"
"80","Brooklyn, New York",NA
"81","Brooklyn, New York","Kings"
"82","Troy, Michigan","Oakland"
"83","Troy, Michigan",NA
"84","Troy, Michigan","Oakland"
"85","Jersey City, New Jersey","Hudson"
"86","Jersey City, New Jersey",NA
"87","Jersey City, New Jersey","Hudson"
"88","Philadelphia, Pennsylvania","Philadelphia"
"89","Philadelphia, Pennsylvania",NA
"90","Philadelphia, Pennsylvania","Philadelphia"
"91","Fort Myers, Florida","Lee"
"92","Fort Myers, Florida",NA
"93","Fort Myers, Florida","Lee"
"94","Las Vegas, Nevada","Clark"
"95","Las Vegas, Nevada",NA
"96","Las Vegas, Nevada","Clark"
"97","Chicago, Illinois","Cook"
"98","Chicago, Illinois"," DuPage"
"99","Batavia, Illinois","Kane"
"100","Batavia, Illinois"," DuPage"
"101","Miami, Florida","Miami-Dade"
"102","Miami, Florida",NA
"103","Miami, Florida","Miami-Dade"
"104","Tacoma, Washington","Pierce"
"105","Tacoma, Washington",NA
"106","Tacoma, Washington","Pierce"
"107","Cincinnati, Ohio","Hamilton"
"108","Cincinnati, Ohio",NA
"109","Cincinnati, Ohio","Hamilton"
"110","Youngstown, Ohio","Mahoning County"
"111","Youngstown, Ohio"," Trumbull County"
"112","Oneonta, New York","Otsego"
"113","Oneonta, New York",NA
"114","Oneonta, New York","Otsego"
"115","Bellingham, Washington","Whatcom"
"116","Bellingham, Washington",NA
"117","Bellingham, Washington","Whatcom"
"118","Portland, Oregon","Multnomah"
"119","Portland, Oregon"," Washington"
"120","Portland, Oregon"," Clackamas"
